CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
DE11C,212.0,18603.0,22426.0,23464.0,30388.0,4.0,61443,63099,620.29,16.3382934842791,4.0146805577808,3.34171730776628,7.82362559107666,0.882616463427742,72.2297448714574,10998.6299947103,2.27619642615318
UKH21,4972.0,49723.0,42155.0,49944.0,37724.0,2.0,82259,80190,42.79,36.3486110687256,5.73088195097667,4.76990735530853,9.63379629453023,0.974479168653488,58.3188651402791,9630.2446085612,1.20332084099452
DEB22,96.0,14798.0,17183.0,18936.0,27231.0,1.0,52198,59103,1153.75,10.3075398036412,5.13212963199174,3.42723468480966,8.69058048066039,0.920926372592266,71.9841524026333,10467.8033854167,1.72650735920126
DEB12,164.0,16046.0,20089.0,20208.0,31545.0,2.0,63002,67878,777.11,12.454861164093,5.13212963199174,3.44122941184927,8.68655476603157,0.92038580444124,67.1008231551559,10119.942622432,1.91349452586822
NL125,145.0,23207.0,23350.0,22408.0,32440.0,6.0,62202,65525,978.11,12.8183760643005,5.86556648230108,5.12492147371882,9.38332091342835,1.02818947959514,65.4938407625471,9720.21522521973,2.35691775761399
DE21H,528.0,53924.0,56991.0,67617.0,80612.0,6.0,165634,163913,657.35,31.1930552482605,2.61849567562054,2.69221646090349,8.46513304486871,0.887070318683982,87.2737267017365,11288.8594309489,2.04935719966888
DEF0E,129.0,17418.0,20582.0,20706.0,33868.0,1.0,64800,65468,1004.24,10.0456348146711,4.27412283244041,3.80155286027326,8.58146702001492,0.948232057607836,69.9013308684031,9544.46546596951,2.84063080711798
DE241,1425.0,9598.0,17622.0,15602.0,15801.0,9.0,43876,43535,53.98,21.4083335876465,3.10359722287567,2.39895834525426,8.71018535147111,0.919131944576899,54.9490741093953,10429.8135375977,1.41666667660077
FRI12,160.0,275364.0,308154.0,314651.0,322356.0,6.0,735252,842290,10125.82,12.7024065924102,1.34895833253309,3.09080584904422,12.7126109147417,1.19233489256838,76.3918496698573,12755.1963792884,1.17720769067945
UKJ14,266.0,123692.0,135593.0,131350.0,139783.0,3.0,285084,294244,2572.87,17.7218362357881,5.08554166991402,4.02801606175946,9.78840381199238,0.982109377197191,56.0598447650087,9783.96654615215,1.65464264944647
DEB3J,347.0,29973.0,32057.0,36882.0,53278.0,3.0,98017,103126,598.02,22.8220483064651,5.74220602236412,2.8666883657376,9.87924620695412,0.960670577983061,49.2494935592016,10478.1354751587,0.938969224691391
UKG38,2753.0,58335.0,53231.0,53857.0,55620.0,4.0,118983,116281,102.61,59.2326393127441,4.79300925808924,4.2310764392217,9.12447919448217,0.96353588749965,74.3206022580465,9540.57512919108,1.63887720108032
UKI44,9618.0,117238.0,138853.0,175375.0,115732.0,5.0,274018,261802,64.37,63.0,6.08650206707561,3.88629629214605,10.5233680963516,1.00901387631893,54.0799765904744,9723.13155721029,1.08890668153763
CH061,275.0,62505.0,77019.0,84642.0,91652.0,5.0,176082,197239,1480.82,19.5266203615401,2.66148235848055,2.43114802950904,7.94336970829745,0.860154320205015,113.668458060613,11967.241589743,2.69563847780228
UKF21,4889.0,72636.0,97953.0,70838.0,58196.0,6.0,139391,137257,72.36,62.0763893127441,5.62293981832487,4.46435181299845,9.66950229803721,0.979814822475115,52.6082178751628,9493.14176432292,1.59881109661526
DEA55,3042.0,20522.0,27360.0,27611.0,36231.0,1.0,79425,83627,50.74,55.9305572509766,6.62644444797878,3.49890047311783,10.2012730836868,0.989160890380541,76.4756940205892,9590.47342936198,1.26658496856689
UKM92,23.0,22141.0,22512.0,22081.0,34035.0,0.0,69987,75154,6353.51,2.60081417271974,1.58816513749073,5.34351562882992,7.89166653187985,0.916285532586118,113.75594928755,8759.54223881715,2.25514200987809
UKI31,11042.0,45228.0,69315.0,69804.0,46729.0,13.0,127902,112303,24.63,63.0,6.08650206707561,3.91893808543682,10.5549334784349,1.00226851304372,52.9723665714264,9661.4829864502,1.1248198846976
DE40A,116.0,28794.0,24979.0,37453.0,55158.0,3.0,102340,103704,1780.66,11.4849998569489,3.17891304193272,3.63897123245093,8.69628296041778,0.924904732176891,46.4317796841646,10051.5779309395,2.00451875906534
UKK12,569.0,117815.0,132977.0,123156.0,142213.0,5.0,302711,299116,1207.37,27.8157410303752,3.59868981672658,4.09781709561745,9.99151198317607,1.00997582450509,71.4934629599253,10101.1798159281,2.28809242370346
DE139,284.0,33199.0,38010.0,41444.0,55320.0,3.0,108891,111221,798.98,18.4050925771395,3.33193981868249,3.00868056217829,8.29017490301178,0.910363936865771,107.571952290005,11560.0049461082,2.63363604515027
RO411,84.0,90092.0,103173.0,136028.0,130439.0,-4.0,229784,286234,7404.92,3.52720589330968,1.14358333299557,1.87895424868546,11.3805746222974,1.06523249777509,48.511907637353,13164.467869897,0.532709180043285
DE215,126.0,13468.0,17868.0,19058.0,23699.0,3.0,53022,53475,831.87,13.1717170368541,2.53108999528825,2.46588541443149,6.53352862080404,0.784702686282496,118.556351582209,11061.6737238566,2.23088439572148
DEG0K,70.0,9995.0,8963.0,13687.0,19893.0,-3.0,40797,44600,1136.83,9.16102433204651,3.51939583744992,3.58046680423949,7.45021604773485,0.860508873727587,66.5873457590739,10125.7979790582,1.8513923777362
DE237,66.0,12102.0,15809.0,16378.0,23671.0,-1.0,43567,46497,1410.55,9.64616398584275,2.98965277945002,2.74116285408244,7.36631603904215,0.864430489055082,63.0264160305846,10414.874222101,2.46850957333202
FRK21,113.0,128604.0,105598.0,127627.0,137623.0,5.0,271426,308213,5745.4,17.2731135994641,2.22874218301719,2.94352271274668,10.1405822363714,0.972547974599444,87.2791448998566,12418.8055257751,1.38417828365257
DE40H,79.0,22625.0,20800.0,31165.0,42677.0,4.0,82623,85442,2076.93,9.04647422753848,3.86294676453151,3.83457457265635,8.96807353642445,0.93335687908633,46.1944245634408,10159.5161483589,1.70861925848506
FRK25,159.0,137851.0,128440.0,131184.0,148152.0,1.0,338236,393846,4775.51,15.1783191597058,1.82678703721613,3.29899516069528,9.80739583235347,0.929790507347295,68.4129630002109,12560.8075813062,1.27809531698304
